Genes,DNP_mean,DP_mean,DNP_vs_DP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
C1QC,19.21069366501137,19.194906039365836,1.000822490384332,0.21004220069550658,0.8272172782721727,0.9035140175302857,-0.23209407740011911,0.8164649448471181,0.8881994510199672,1.0,1.0
C1R,17.843033841797407,17.479392670663803,1.0208039934787845,2.9743837959247523,0.005099490050994901,0.027854357421400713,2.4301615163071295,0.015092095568655345,0.05285015231392595,1.0,1.0
C1RL,16.45796272173032,16.517404154194164,0.9964012848563282,-0.7432297499096304,0.46225377462253775,0.6082286508191286,-0.6416718610473882,0.5210862633059319,0.6856398201393841,1.0,1.0
C1S,17.26808185402796,17.257585689357413,1.0006082058556443,0.10310950744434173,0.918008199180082,0.9619871346198713,-0.06826296394121151,0.9455763058228327,0.9670666764097153,1.0,1.0
C2,17.39261409842408,17.26091683749395,1.007629795228725,1.3303109095778995,0.18708129187081293,0.3141290348577083,0.6143666754709035,0.5389730517703638,0.7050519572577433,1.0,1.0
C3,19.464697271773996,19.50309953249226,0.9980309662751664,-0.715693547193871,0.48005199480051997,0.6279749931983546,0.2593992629766037,0.7953271983175579,0.8839849596793214,1.0,1.0
C4A,19.218937337998142,18.924396177073064,1.0155640982237475,1.7234581174279906,0.0705929407059294,0.1544263049423213,-0.4778407475884805,0.6327635567122782,0.8043604534478114,1.0,1.0
C4B,19.732501021153908,19.43345586534539,1.015388161420213,1.7099322615638446,0.0734926507349265,0.1559985510882874,-0.4505355620119959,0.6523243180337062,0.8141756848021672,1.0,1.0
C4BPA,17.94915795645492,18.289527748284,0.9813899081204533,-2.526578487702187,0.014998500149985002,0.05272910208979102,-2.402856330730645,0.01626757715240487,0.053826542048398464,1.0,1.0
C5,17.360731325368782,17.52177365180879,0.9908090168472538,-2.2217253960121632,0.0327967203279672,0.09340838068091925,-2.225372624483495,0.02605623372295971,0.07232714314239097,1.0,1.0
C6,17.131823429647657,17.28667982369428,0.9910418660132546,-2.2595741595808487,0.029897010298970104,0.08794575087945751,-2.593992629766037,0.009486852057163342,0.03811681630110272,1.0,1.0
C7,17.14098828624206,17.561463542859975,0.9760569353692125,-3.6103970234749267,9.999000099990002e-05,0.0044995500449955,-3.3312326403311214,0.0008646231105051217,0.011443541168450139,1.0,1.0
C8A,17.76485205503191,17.699844815557693,1.0036727575948619,0.8337628336891636,0.40315968403159685,0.5569228353238296,0.5461037115296921,0.5849946486661075,0.7478624769879215,1.0,1.0
C8B,17.48621391459564,17.620592904331826,0.9923737532292033,-1.8346218108433747,0.0730926907309269,0.1559985510882874,-1.7202266913185298,0.08539124303715516,0.17466390621236283,1.0,1.0
C8G,17.170450746847994,17.30454122955412,0.9922511391127138,-2.118564239168374,0.0364963503649635,0.09660798626019751,-1.9659733615068913,0.04930168779278289,0.11927827691802313,1.0,1.0
C9,17.95958848704058,18.51608256403662,0.9699453664093665,-3.4289493114991343,0.0011998800119988001,0.014998500149985002,-3.058180784566275,0.002226851886912881,0.015657552329856196,1.0,1.0
CA1,16.479240405494856,15.790881382382858,1.0435921850366103,2.7533978827511145,0.007799220077992201,0.03374662533746626,2.7024927383501742,0.006882168773499202,0.03160179538851675,0.9827586206896551,0.9333333333333333
CD14,15.931887829960989,16.184318977815046,0.9844027327810282,-2.3220826563635075,0.024397560243975602,0.07655484451554843,-3.044528191778033,0.00233045587402094,0.01588947186832459,1.0,1.0
CD44,15.516079786130998,15.214403033014417,1.01982836608587,1.6764333518458971,0.10028997100289971,0.19969242013851712,1.57518700792197,0.1152132851688232,0.2215640099400446,0.9137931034482759,1.0
CD5L,19.974043733437817,20.0578677031772,0.9958208932783964,-0.4653988027431107,0.6434356564343565,0.7563696755324466,-0.3822725980707844,0.7022591776345024,0.8316227103566476,1.0,1.0
CDH5,16.44338678485128,16.440155453459173,1.0001965511458366,0.07943117570371493,0.9372062793720628,0.9673000589849272,-0.43688296922375364,0.662196223639096,0.8141756848021672,1.0,1.0
CEP250,23.005722028208893,22.75348993142681,1.0110854245894694,2.758907734967884,0.007599240075992401,0.03374662533746626,2.031345331262655,0.04221997592311278,0.10554993980778195,0.9827586206896551,1.0
CFB,18.74840070751326,18.93912468229206,0.9899296309635087,-1.770671009353561,0.07839216078392161,0.16484332875123703,-0.7918503817180534,0.42844792148641697,0.5950665576200236,1.0,1.0
CFD,16.031359281684303,16.11543762259948,0.9947827454094532,-0.49162231640498627,0.6223377662233777,0.7408782931230686,-0.2565180111150793,0.797550874732899,0.8839849596793214,0.9827586206896551,1.0
CFH,19.295352663453677,19.345888913036433,0.9973877525188981,-0.536465164752039,0.5886411358864113,0.7159148949969868,-0.9829866807534456,0.32561399400161806,0.481994399015553,1.0,1.0
CFHR3,17.078234676860976,17.572282909561007,0.971884800896802,-2.280375474344056,0.027597240275972403,0.0839105278661323,-2.5166496766155078,0.011847656540658036,0.043700372486033735,0.9827586206896551,1.0
CFI,17.08914314991551,17.14601115812612,0.9966833097397316,-0.8538401299691365,0.39786021397860216,0.5560158269887298,-0.9147237168122341,0.36033669034008264,0.5197163802981961,1.0,1.0
CLEC3B,17.089183184410594,17.023223191317232,1.0038747064731552,0.576928314372614,0.5645435456454354,0.7052179397444871,0.3822725980707844,0.7022591776345024,0.8316227103566476,1.0,1.0
CLU,18.35814102356607,18.205417979898318,1.008388878730298,2.6407103933286526,0.010998900109989001,0.0434167109604829,2.3892037379424025,0.016884935863602946,0.05505957346827048,1.0,1.0
CNDP1,16.61462466160656,16.06244926149412,1.0343767871962184,3.1468965499702235,0.0017998200179982,0.016873312668733126,3.1400963412957292,0.001688922824077765,0.015657552329856196,1.0,1.0
COMP,15.386356927600662,15.7996953146122,0.9738388381053611,-1.3285821016653292,0.19158084191580843,0.3176152972938,-1.7812773512896005,0.07486715259538168,0.16042961270438932,0.7068965517241379,0.7333333333333333
CP,18.216305717998708,18.48605284715137,0.9854080732440279,-3.3263640476530743,0.0012998700129987,0.015393197522353026,-2.771476336013187,0.005580272821848289,0.026157528852413854,1.0,1.0
CPB2,17.49935575288775,17.46845857710465,1.0017687408220208,0.3696753804974461,0.7106289371062894,0.8115097581150976,0.2867044485530883,0.7743386310773925,0.879930262587946,1.0,1.0
CPN1,16.75031320019138,16.874862047495853,0.9926192672299234,-1.2553279704096192,0.21747825217478253,0.34984001599840014,-1.0239444591181726,0.30586150922739486,0.4681553712664207,1.0,1.0
CPN2,17.179469490853368,17.341358572801916,0.9906645675268803,-2.2849932228163152,0.027997200279972004,0.08399160083991601,-2.320940774001191,0.020290040545533967,0.06253779620198827,1.0,1.0
CRTAC1,15.795280483445076,15.785038045298801,1.0006488700322977,0.06451983297449763,0.9478052194780522,0.9732322222323222,-0.19680066125133272,0.8439835336328705,0.8957372408839428,0.896551724137931,0.8666666666666667
CST3,16.51835067355455,16.757789667810474,0.9857117794767496,-1.437202158221118,0.15428457154284572,0.27995184352532493,-1.2964558940140496,0.19481846608721576,0.3397996501521205,0.9827586206896551,1.0
ECM1,17.253160377616815,17.220934840691893,1.0018713000904442,0.380384955457604,0.7141285871412859,0.8115097581150976,0.5734088971061766,0.5663678675980495,0.7323722425836847,1.0,1.0
F10,18.12248385586654,17.938634681207812,1.0102487830275804,2.040404529543303,0.044195580441955803,0.10692479139182856,1.7884896552597414,0.07369704316230005,0.1594407183799761,1.0,1.0
F11,16.651689357852533,16.250757218121294,1.0246715974123444,2.0430643647382563,0.043795620437956206,0.10692479139182856,2.267064584719755,0.023386280639903244,0.06828601234216518,0.9827586206896551,1.0
F12,16.686079820586098,16.59950762492176,1.0052153472030918,0.5303340450727051,0.5945405459454055,0.719202273321055,0.6416718610473882,0.5210862633059319,0.6856398201393841,1.0,1.0
F13A1,16.57242098590091,16.37923074246055,1.011794830079507,1.5931016907185405,0.11658834116588342,0.2186031396860314,1.8840578047774375,0.0595571569308702,0.13814804442727624,1.0,1.0
F13B,16.089114041407278,16.027703894659073,1.003831499954817,0.5058272627561025,0.6188381161883811,0.7406307241616263,1.0102918663299303,0.31235547685347254,0.4716777335035659,1.0,1.0
F2,19.430221879435543,19.230354764087966,1.0103933139975567,2.8296111636935697,0.0059994000599940004,0.031392209616247675,2.6622555937072487,0.007761891484840649,0.03295142611488955,1.0,1.0
F5,16.14433670041236,16.36653075700402,0.9864238756587694,-2.441775328747483,0.0178982101789821,0.06010592970553691,-2.307288181212949,0.02103875995495545,0.06396920256574291,1.0,1.0
F9,17.40122182007732,17.230857952280676,1.0098871378470216,1.0343587224649349,0.3083691630836916,0.4419303292600676,0.7747247335011401,0.43850233266267513,0.6016038100554993,0.9655172413793104,1.0
FBLN1,16.756768339581807,17.035144098655042,0.9836587376390192,-1.964560800068056,0.054594540545945404,0.12795595440455954,-1.7884896552597414,0.07369704316230005,0.1594407183799761,1.0,1.0
FCGR3A,16.992341264060983,17.152579744543235,0.9906580536065877,-0.7777704435884885,0.43845615438456154,0.5942929803405201,-0.40547901052675744,0.6851254438797378,0.8316227103566476,0.8793103448275862,1.0
FCN3,17.123015552666196,17.121489243610565,1.0000891458116705,0.013417134710979085,0.9908009199080092,0.9934006599340066,-0.013652592788242301,0.9891071453928851,0.9891071453928851,1.0,1.0
