Genes,1st DBT,Healthy control,pre DBT,kruskal_fdr,1st DBT_percentage,healthy_control_vs_pre_DBT_group,1st_DBT_vs_pre_DBT_group,label,HPA specific annotation
C1QC,0.44207059842029545,-0.2907778805543408,-0.08467012886828557,0.12979862117678623,1.0,-0.20610775168605522,0.526740727288581,LMH,
C1R,0.6334534061867141,-0.7922677743137077,0.288425384536115,6.540244417912815e-05,1.0,-1.0806931588498228,0.3450280216505991,LMH,
C1RL,-0.008047237842431715,-0.1318873300220947,0.15119275806261676,0.5892841775039108,1.0,-0.28308008808471147,-0.15923999590504848,LHL,
C1S,0.3562023741352666,-0.6925453362541195,0.43168366306335354,0.0018327711317772239,1.0,-1.124228999317473,-0.07548128892808692,LHL,
C2,0.407078632683764,-0.510598299606898,0.18694484258591418,0.0022939390932861983,1.0,-0.6975431421928121,0.2201337900978498,LMH,Liver
C3,0.5663599621906829,-0.6153190702244439,0.15638447461697008,0.0013793864074838054,1.0,-0.771703544841414,0.40997548757371277,LMH,Liver
C4A,0.1669785247656202,-0.21564737898836203,0.08345302729127245,0.1940165389324469,1.0,-0.29910040627963447,0.08352549747434775,LMH,
C4B,0.1528812729199475,-0.2062729744782709,0.08604208768545077,0.22166440723345493,1.0,-0.29231506216372166,0.06683918523449672,LMH,
C4BPA,0.3915637072337866,-0.5473977755971446,0.2411942031661634,0.0028065270356216715,1.0,-0.788591978763308,0.15036950406762317,LMH,Liver
C4BPB,-0.17084180298499516,-0.3174537981789323,0.5024531897216687,0.008017855125943333,0.75,-0.8199069879006011,-0.6732949927066639,LHL,Liver
C5,0.23601501583324486,-0.39505583707817765,0.21641089878231695,0.01807921859230229,1.0,-0.6114667358604946,0.019604117050927905,LMH,Liver
C6,0.34055294132294484,-0.28216711218267926,-0.0017749151852797693,0.03544508105877765,1.0,-0.2803921969973995,0.3423278565082246,LMH,Liver
C7,0.39948354676905484,-0.41316688603455815,0.087560651338586,0.10483064264775918,1.0,-0.5007275373731441,0.31192289543046886,LMH,
C8A,0.2997192999025767,-0.46874725277405443,0.23888854856932593,0.04124946446419597,1.0,-0.7076358013433803,0.06083075133325075,LMH,Liver
