,Principal component,statistic,pvalue,ev,annot
54,55,0.0008159953114081555,0.9932496048355671,0.0032884292292695476,others
55,56,-0.23082749137795008,0.015260263989136257,0.0032784907404572626,p < 0.05
56,57,-0.04847733471586682,0.6150188824350948,0.0031641918615105194,others
57,58,0.13039244415391207,0.174543183765854,0.0031101862966106323,others
58,59,0.003755381737033113,0.9689406374943121,0.002904862038182073,others
59,60,-0.1477131844104321,0.12356226464611894,0.0027862139734767945,others
60,61,0.054815950228794263,0.5695089031558782,0.0025750091768422293,others
61,62,0.022140071681356087,0.8184161673198284,0.0025499947815430814,others
62,63,-0.03462795572887316,0.7194903516883047,0.0024592637643547264,others
63,64,0.04713387282194622,0.624863645487926,0.0023151264885547416,others
64,65,0.0311115118454568,0.7469596235097001,0.0022840797949361,others
65,66,0.09037711606518946,0.3477418201592385,0.002225686538433476,others
66,67,-0.17483488492662805,0.06772469624849123,0.002194216013950836,others
67,68,0.12878750309942968,0.1799542078848834,0.002035676914947757,others
68,69,0.060857020490048014,0.5276690174673365,0.001989779289647209,others
69,70,-0.15645019498230509,0.10264018670994078,0.00195365459534199,others
70,71,0.05360773617654352,0.578060396845655,0.0019199505991849615,others
71,72,-0.18244483015125218,0.05643224342268616,0.0018524814678757293,others
72,73,-0.01409733336338841,0.8837853545685712,0.0018029906840960474,others
73,74,0.056997948741068005,0.5542178035966081,0.0017426054144739499,others
74,75,0.0400018033045556,0.678203429724269,0.001670120368615433,others
75,76,0.12584811667380474,0.1901811746843966,0.0015702991992157555,others
76,77,-0.19318350877983903,0.043169094253938486,0.0014973330653505132,p < 0.05
77,78,0.005179992335955639,0.9571678450540454,0.0014379682564782522,others
78,79,0.27428713116786513,0.003735028670786508,0.0013742437757488471,p < 0.05
79,80,0.051741315961499446,0.5913863340155636,0.0013458123207852066,others
80,81,-0.08737461398011857,0.3640569623865598,0.0012633708412681276,others
81,82,0.09699524378423462,0.31342908072433756,0.0012121619823522308,others
82,83,0.044933841264116495,0.6411281024794055,0.0011361900456953876,others
83,84,0.04829700426030702,0.6163364137455526,0.0010631101086316232,others
84,85,-0.10493880035164439,0.2752507650288319,0.0009806766509533776,others
85,86,-0.0884836462818114,0.35797648754693245,0.0009523578629731859,others
86,87,0.06113653269616572,0.5257712274819684,0.0009468909505256126,others
87,88,-0.1719045150237811,0.07253480473934414,0.0009211696940685139,others
88,89,0.07632035705430201,0.4280881718014746,0.0008799406988633661,others
89,90,-0.035358294073890406,0.713828387896956,0.0008360864482480026,others
90,91,0.04798142596307734,0.6186450264878796,0.0007748824565995037,others
91,92,0.00016680567139282736,0.9986200694122993,0.0007427890548474601,others
92,93,0.04838716948808692,0.6156774954061238,0.0007214504162265318,others
93,94,0.16632328742420485,0.08245714224661235,0.0006923232122648916,others
94,95,0.01451209341117598,0.880391190909147,0.0006741371386938205,others
95,96,-0.18687194283524558,0.05060710180627314,0.0006075502414673295,others
96,97,0.06991862588192864,0.467946249679701,0.0005926354669280503,others
97,98,-0.018767892162387577,0.8456999557093251,0.0005748355932606598,others
98,99,0.04396907332687149,0.6483150067783637,0.0005405011392691512,others
99,100,0.030913148344341005,0.7485190329765259,0.0004945260575075958,others
100,101,0.041796091337375746,0.6646203154210386,0.00045907930231279403,others
101,102,-0.012807970606135742,0.8943499451869462,0.0004443636550615808,others
102,103,-0.06561774451682709,0.49582241941812477,0.00040829196998114176,others
103,104,-0.04304938800351644,0.6551962949144866,0.0003718414222715242,others
104,105,-0.044446949034105,0.6447510468653731,0.00035072084335770247,others
105,106,0.0828934021594572,0.3892684383853694,0.0003380614197435581,others
106,107,-0.02816310889705385,0.7702400778467076,0.0002702304631434486,others
107,108,-0.02596307733922413,0.7877467034661756,0.00025255832603233557,others
108,109,0.11734553569415955,0.222126086627252,0.00021239698869449767,others
109,110,0.022936379132942795,0.8120036137274944,3.2618065784087895e-32,others
