Exp,DNP_mean,DP_mean,DP_vs_DNP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
RDW-SD,45.2357142857143,48.88571428571429,1.0806884572872255,-1.5688117448729746,0.12428757124287572,0.2219420915051352,-2.6148057867316994,0.00892782044929642,0.030511398868056826,0.4827586206896552,0.9333333333333333
PDW,10.711111111111109,10.707142857142857,0.9996295198577358,0.008276537119137835,0.9998000199980002,1.0,-0.08247860988423225,0.9342661272121848,0.9362014062102828,0.46551724137931033,0.9333333333333333
MPV,9.75185185185185,10.092857142857143,1.034968259996745,-1.2353736109120212,0.23067693230676933,0.34408323873495,-1.168446973359957,0.24262651672612023,0.37136711743793915,0.46551724137931033,0.9333333333333333
PCT,0.1775,0.2057142857142857,1.158953722334004,-1.7408209358292461,0.0938906109389061,0.17716978302169784,-1.7343099605873515,0.08286310110229593,0.16796574547762688,0.4827586206896552,0.9333333333333333
NRBC%,0.028571428571428574,0.028571428571428574,1.0,0.0,1.0,1.0,-0.32018030041612644,0.7488316557737615,0.8349924027556402,0.4827586206896552,0.9333333333333333
P-LCR,22.849999999999998,24.928571428571427,1.0909659268521412,-1.0195395075989107,0.3116688331166883,0.4410408015802193,-0.9738817470990513,0.3301152576626222,0.44811093105757543,0.4827586206896552,0.9333333333333333
NRBC#,0.0010714285714285715,0.0014285714285714286,1.3333333333333333,-0.2729247070474675,1.0,1.0,-0.3468619921174703,0.7286950018464748,0.8349924027556402,0.4827586206896552,0.9333333333333333
Urea,5.547272727272727,4.935333333333333,0.8896864416038458,1.2076506906153064,0.23397660233976603,0.34408323873495,1.1136388048015426,0.26543417196368146,0.38283774802454057,0.3793103448275862,1.0
Crea,82.45454545454545,73.6,0.8926130099228223,1.344206597623093,0.19438056194380562,0.31018174778266855,1.453917328490903,0.14596922793309125,0.26065933559480575,0.3793103448275862,1.0
UA,348.3181818181818,326.6666666666667,0.9378398364435164,0.7460731157240463,0.4617538246175382,0.5677301122346782,0.8506963092234007,0.39493807393670455,0.5020399244958109,0.3793103448275862,1.0
CO2CP,26.59090909090909,24.6,0.9251282051282053,1.7480663819026,0.09449055094490551,0.17716978302169784,1.9024662915359687,0.05711022163593948,0.12237904636272745,0.3793103448275862,1.0
b2-MG,2.1227272727272726,2.7933333333333334,1.3159172019985725,-2.440599503482123,0.0207979202079792,0.05031754889027226,-2.304613637714304,0.021188221498478675,0.052970553746196684,0.3793103448275862,1.0
Cysc,1.1161904761904762,1.1746666666666665,1.0523890784982934,-0.5815774625259372,0.5753424657534246,0.684931506849315,-0.4973546494822858,0.6189389800648473,0.7253191172634929,0.3620689655172414,1.0
CK,132.95454545454547,76.8,0.5776410256410256,2.546495686070469,0.010498950104989501,0.0342357068640962,2.7222281895148823,0.00648433509970538,0.025596059604100184,0.3793103448275862,1.0
HBDH,120.0,228.33333333333334,1.9027777777777777,-2.7300268199152193,0.0008999100089991,0.004820946476780893,-2.304613637714304,0.021188221498478675,0.052970553746196684,0.3793103448275862,1.0
LPS,67.4668181818182,47.88666666666666,0.7097810146851088,0.9483838329904762,0.3538646135386461,0.4914786299147863,1.3920485060019283,0.16390770996112536,0.2858855406298698,0.3793103448275862,1.0
GGT,88.77272727272727,240.8,2.712544802867384,-2.036594789361997,0.047495250474952504,0.10177553673204108,-0.835229103601157,0.40358872613236085,0.504485907665451,0.3793103448275862,1.0
AMY,72.68181818181819,69.2,0.9520950594121325,0.2980964570208745,0.77992200779922,0.8608697953734038,1.2064420385350045,0.2276470951119618,0.3711637420303725,0.3793103448275862,1.0
AST,24.363636363636363,37.2,1.5268656716417912,-1.7969301410323293,0.0494950504949505,0.10311468853114689,-0.309344112444873,0.7570597784984471,0.8349924027556402,0.3793103448275862,1.0
