Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
Q01658,,,,,,136402,,,,,,,,197873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01664,,,,,,,,,,,,,,,,,,,,,281803,,,,,,,,,,,,322451,,,,519696,,,,,,,,,,,,,
Q01740,,238827,,,,302068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01780,,,,,172496,,,,,,,138398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01804,,,,,,,,,,,,,,,,,,,,1987890,,816329,,2089480,1083300,,,,,,,,,,,,,,,,,,,,,,,,,
Q01813,,,495707,,,,,,,,,,,,,,,,,,498977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01814,,59021.1,,,,,,,,,,,,,,,,,,,86204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,990573,,,,,,,,,,,,,,,,
Q01844,260105,,332080,324838,276086,179782,,,,289826,,291013,332824,,228670,,131025,,,,,,,,,,,,,,49363.2,,,,,,,,,,,,,,,,,312597,,273138
Q01955,,,,,,,,,,,,,,,,,,,,,800277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873975
Q01968,,,,,,,,,,,,,,,,,,,,,,,1389530,1324640,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01970,,,,,,,,,,,,,,,,,73332.5,,,,,,,,,,,,,,,,,,,73567.5,,,,,,,,,,,,,,
Q01995,,,,,,,,,,,,,,,,,,,,,5455350,,5443510,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02040,,,,,,,,,,,,,,,,,,,,520280,,,,,665810,,,,,,,,615035,,,,,,554637,,,536880,536580,,,,,,,
Q02083,,,,,,,,,,,224225,,,,,,,,,,,,,,,,,,,,,,,,,,318715,,,,,,,,,,,,,
Q02153,,,,,,257508,,,,,,,269049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02218,,,,,,,,,4897340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5123460,,,,,,,,,
Q02241,,,,,,,,,,,,,,,,,134418,,,,,,,97361.9,,,,,,225617,,,217514,,,82866.3,,,,,,,,,,,,,,
Q02246,,,,,,,,,,,,,,,,,198018,,248345,,351418,,,,570960,,,,,,,,,,,95733.2,,,,,154726,,,,,,,,,
Q02252,,1081520,,,,1140020,,,1103980,,1079000,,,,1006030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02318,,,,,,,,,,,,,,,,,,,,,333332,,,,,,,,,,,,,,,,,,,,,,,,249080,,,,,
Q02338,,551743,,,,,,,,,,,,,,,,168893.6,,,,,,,,,43185.1,,,,,,,,,,,,,,,,,,,,,,,
Q02383,,,,,,,,3971020,4604800,,,,,,,,,,,4207350,,,,3424190,,,,,,,,,,,,4503800,,,,,,,,,,,,,,
Q02388,,,,,,,,,,,,,,,,,,1043600,,,,,,,,,,,,,,,,,,,,,,,,,,,1006680,,,,,
Q02413,,,,,,,,,,,,,,,,,,,,,,200761,,,202767,,,,,,,,,,,,,,,,,,,,,,,,,
Q02487,,,,,,,,,,,,,,,479566,,,,,,,471834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02505,,,,,,,,,,,,,,,,,,,,,,,,,5453120,,,,7879250,,,,,,5374660,,,,,,,,,,,,7603640,,11077800,
Q02543,,,,,,264540,,,,,,,,210837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02556,,,,,,,,,,,,1925400,,,,,,,,,,,,,,,,,,,,,2772950,,,,,,,,,,,,,,,,,
Q02742,,,,,,,,,,,,,,,,28949.4,,,,,,,,,,,,51764.5,,,,,,,,,,,,33003.2,,,,,,,,,,
Q02747,,,,,,,,,,,,,,327029,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,54719.8,,,,,,,
Q02763,,,,,,,,,,,,,,,,,,,,1049440,,,,,,,,,,,1429090,,993496,,,,,,,,0,,,,,,1533760,1508210,,
Q02790,50426200,31500000,34028500,33560700,58734600,22610800,60093800,22346200,50045400,42666200,35932800,32770800,57954100,34682100,31728500,30515200,26251200,21441700,29574200,40364600,21236700,31404500,33102400,28979000,21120200,40393500,29847400,40468300,62467000,58927800,23668900,46046200,36738800,53512600,26483600,44961500,54969300,29122700,41587600,23318800,52045600,31636300,62587100,37742500,48057400,36552400,95804400,77172600,79548900,106611000
Q02809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541568,,,,,,,,601739,,,,,,,,,,
Q02817,,,,,,,,2225210,2272990,,2355890,,,3042280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3288990,,,,,
Q02818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222290,,,,,,,,,,,229578,,,,,,
Q02878,,,,,,,,,,,,,,,,,,,,366202,361333,,,,,,,273909,,,,,,,,,,,,,,,,,,,,,,
Q02880,,,,,,,4333100,,,,,,5981700,4123450,,,,,,4882490,4423070,,,,,,,,,,,,,,,,,,,,,,,,5270200,,6655820,6755020,7733190,
Q02928,,,,,,,,,,,7359700,,,,,,,,,,,,,,,,,,,,,,,4019640,,,2327650,,,,,,,,,,,,,
Q02952,,,,,,,220017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206832,,,,,,,,,,,
Q02985,731213,864863,346975,1521500,967705,1011800,1162150,,815591,929258,1175250,658760,960784,1105980,976658,1204760,613660,965185,,707822,1107730,1047970,,854289,,,527345,,,,777370,817636,1116910,935642,715857,826179,549761,,705329,375050,966400,679529,667244,,279153,,776204,754350,,856348
Q03001,,,,,,,1413380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310910,,,,,,,
Q03135,,,,,,,,,,,,,,,,,,,,,,909694,,,,,,,,,,,,,,,998820,,,,,,,,,,,,,
Q03154,,,,,,,,,,,,,,,,,,,,,,,,,,486246,,,,,,,,,,,,527326,,,,,,,,,,,,
Q03167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274498,,,197438,,,,
Q03169,,,,,,,,,,,,,,187156,,,,,,190515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03252,,,,,,,,1030610,,,,,,,,,,,,,,,,,,,,,1002710,,,,,,,,,,,974948,,,,,,,,,,
Q03426,,,,,,,,,1161670,,,,,,,,,,1145470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03518,,,,,,,,,,,,,,,,,,,,,,,,,,,3193160,,,,,,,3181151,,,,,,,,,,,,,,,,
Q03692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510093,,,,514286,,,,,,,240398,,
Q03701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297550,,1278980,,,,,,,
Q04118,1318440,1295340,1625140,1541870,1515920,872882,1468030,366382,1309470,1374720,471939,1084850,670754,769431,1130370,,1178130,,444049,565812,1516230,437362,914551,1310060,0,358466,603883,1287740,,1283940,960714,,486654,1128130,692082,449236,1014010,237090,366914,,221755,225385,,994434,1096060,659363,615018,448833,812244,
Q04206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86787.2,,,102232,143302,,,,,,94900.9,,,,,,,,
Q04323,,,,,,,,,81238.7,,,,,,,,,,,,,41750.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04446,,,,,,2161870,,2252580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067100,,,,,,,,,,,,,1673650,
Q04637,,,,,,,,,,,,,,,,,,,257527,,,,,,,,,,,,,,,,,,,,,,,,,256726,,,,,,
Q04695,,,,,,77839.2,,,,,,,,,,,,,,,,,,,77107.7,,,,,,,,,,,,,,,,,,,,,,,,,
Q04721,,,433189,,,,,,,,,,,,,219813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04726,,,,1539980,,,1548940,,,,,1431690,,,,1985970,,,329583,1414990,,,,,2368000,2203520,,,,1872660,525721,,,,,3724410,,,563915,3168310,,2098810,,,,358779,,,,284208
Q04756,,,,,,,,,,,,,16856000,16384200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04760,,,,530671,478267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04837,,,,,,,351698,387936,,,,,,,,,,,,,,,,,,,356042,,,,,,,,425892,,,,,,,,,351064,,,,264883,,
Q04864,179259,,,,,,,,,,,,76335,,,93471.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241020,,,,,,,,,,4046480,,,,
Q04941,,,,,,,,104972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109213,,,,,,,,,,,,,
Q05048,,,,,,,,,,,,,,,,,,627163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596265,,
Q05084,,,,,,,,,,,,,,,,,,,,,,,303796,,,,,,,,,,,,282029,,,,,,,,,,,,,,,
Q05086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189038,,,,,,,,217477,,,,,,
Q05193,,,,,,,,,,,,,,,,,,,,,,,140283,,,,108478,,,,,,,,,,,,,,,,,,151241,,,,,
Q05209,,,,,,,,,,,,377917,407479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271591,,,,,
Q05315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970710,,,,,1537100,,,,,
Q05397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844004,799592,,,
Q05469,,,,,,,,,513841,,,,,841484,,,,,,,,,,,,,,,,,,,690261,,,,,,,,633292,,,,,887614,,,,
Q05519,,,,,,,,,,,,,112006,126020.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05639,,,,,,,10478800,,,,,,,,,,,,,,,,,,,,,,,,,10376300,,,,,,,,,,,,,,,,,,
Q05655,,,,,,1162250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257360,,
Q05682,,,,,,,,,,,,,866213,,,,,,,,,,,,,,,,,,,,,,,,,,881087,,,,,,,,,,,
Q05707,,,,,,,,,,1443700,,,,,,,,,,,,,,1442730,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05932,,,,,,,,,,,,,,,1084190,,,,,,,,,,,,,,,,,365831,,,,,,,,,,,,,,,,,,
Q05940,,,,,4288400,,,,,5060170,,,,,,5869820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6171810,6395750
Q05BV3,,,,,,,,,,,,,,,,,,,,73466.1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Q06033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153943,,,,,,,150225,
Q06124,,,,,,,,,,,,393808,,,,,,,,,,,,,,,,,,,,,,,,400685,,,,,,,,,,,,,,
Q06136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024450,,,,,,,,,,,,4014420,,,,,,
Q06141,,,,,,,,,,,,,,,,,,,,,145202,,,150686,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06187,,,,,894073,,,,,,,,914219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06203,,,1111730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667364,,
Q06210,,,,,,,,,,,,,,,,,,,,,,,236856,,,,,,,,,,,,,,,,,,,,234919,,,,,,,
Q06278,,,,,,,,,,,,,,,1084790,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775250,,,,,,,
Q06323,,,,,,,,,,,,,,,,,,,,,,2519120,,,,,2574780,,,,,,,,,2579960,,,2463430,,,,,,,,,,,
Q06413,,,,,,,,,,,,,,,,,,,1792460,,,,1228850,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06481,,,,73590.3,149456,,,,,157457,,,,,,310962,,51763.6,,,199880,,124002,,,,,,,,125394,146675,,,,,,242775,227281,,72661.2,99864.8,,109997,96801.3,73891.3,369560,256839,303063,69225.6
Q06520,,,,664078,436474,,676628,,,700591,,,686524,162769,,,357124,,,,,,,,,,,,,,,127820,,,,147488,722245,,,,,,,,,,,,,
Q06546,,,540553,,,,,,,,,,537442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06587,,,,881992,627731,1050040,,,,,,,,1618360,,2041520,2081140,1796450,,1364500,2945890,,,2732960,2305580,,,,2613650,2051810,,,,2497350,,,,,,3534100,3176950,3107190,2832760,,,,,,,
Q06787,,,,98340.6,,,,,,,,,,,,,,,,,,,,,,,,,40578.6,,,,,,,,,,,,,,,,,,125883,,,
Q06828,,1178960,870999.4,1348430,1325957.8,1099660,,956149,402389,1065600,1294640,1344730,,1221800,1477560,588190,863611,627783,,200942,569599,,,1034840,,,,,366170,629006,959215,,518800,592138,731838,632894,599257,506885,664834,,778150,566901,,418815,504252,,677757,,,751680
Q06830,,,,,,,,,,,1136440,,1136800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158566.6,,208546.7,,,,,
Q07065,,,,,,,,1834140,,2178250,1345150,,,1692290,,,,,,,,,,,1239000,,,1932520,,,1988990,,,,,,,,1858180,1501180,,,1581980,,,1759810,,1548810,,1446080
Q07075,,,,,,,,,,,,,,,144280,,,,,,,,,,,,,,,148591,,,,,,,,,,,,,,,,,,,,
Q07092,,,,,,,,,,,,,,,,,493129,,,,,,,,,,,,,,,547373,,637150,,,649716,,,,,,,,,,,,,
Q07157,,,,,,,,35532700,25860200,37785600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07283,,,,,,,,,,,2593940,,,,,,2970370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07507,,,,3522090,5892460,,,,,,,,,,,,,,,5737040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07617,,,,,,,,,,,,,,,,,,,,,350060,,,,,,463573,,,,,,,,,,,,,,,,,,,,,,,
Q07654,1641190,,,357647,,,2161280,,,,,1979140,,2047190,1707210,,,,1834580,,1962660,,1772410,,,,1981180,,,,,,,,,2538060,,,,,,,,,,,1875140,,,
Q07666,,,,,,,,,,,,,,,,,,,,,,,,,126557,,,,,,,,,,,,,,,,,70260.4,,,,,,,,
Q07812,,,,,,84759.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83001.6,,,,,,,,,,,,,,
Q07837,,,,,,,,200467,,,,,,,,,,,,,,,,,,,,,,,,,376303,,,,,,,,,,,,,,,,,
Q07864,,,,,,,,,641612,,,,,687285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07866,,,,,,,,,,,,,,,,,,,195855,,,,,,,,,,,,,,,,,,,,,,,,195394,,,,,,,
Q07889,,,,,,,,,,,,,,,,,,,,,,,,1203380,,,,1419660,,,,,,,,,,,,,,,,,,,,,,
Q07954,,,,,,,,,,,,,,,,,,,,,674137,,,,,,,,,,,681540,,,,,,,,,,,,,,,,,,
Q07955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128820,,,,,,,,,1088730,,,,,,,,
Q07960,,,,,,7182290,,,,,,,6475430,,,2731540,4126200,,,,4266970,,,4651000,,3107080,4223550,,3161720,,3862100,,,4522930,,4969040,4088330,4316900,,,,,,,,,,,,
Q08170,,347445,,,,,,335088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08174,,,,,,,,,,,,,,,,503250,,,,,,,,,,,,,,,,,489180,,,,,,,,,,,,,,,,,
Q08188,,,2025320,,,,2051570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08209,,,,,,,,,,,,,,,,,,,,,,,1567090,,,,,,,,1408840,,,,,,,,,,,,,,,,,,,
Q08211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149974,,,,154716
Q08257,,,,,,,,,,,,,,,,381792,,,,,,380824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08345,,,,,,,6078100,,,,,,5634640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08378,3663080,2401280,,1531770,,,,,,,3412957,,2470680,,,1930310,4653750,,,3136250,,,,3104480,,,,,,,,,,,,,,,5237730,,,,,,,,,,,1971468
Q08379,,,1540080,,,,,,,,,,,,,,,,,,,,,,,,1868630,,,,,,,,,,,,,,,,,,,,,,,
Q08380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85654.4,84003.1,,,,,,,,,,,,,,,,,,
Q08397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555118,,,,618680,,,,,,,,
Q08426,,,516640,,,,,,,556235,,,,,,,,,,,,,,,,,526212,,,,,,,,,,,,,,,,,,,,,,,
Q08431,,,,,,,,,,653768,,,,,,,,,,,,,,,,,,,,,,,,682078,,,,,,,,,,,,,,,,
Q08495,,,,,134459,,,,,,,,,,,,,,,,,113461,,,,,,,,,,,,,,,,,,,,,,,,115424,,,,
Q08499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206058,,,,,,,,,,,296925,,,,,,,,,,
Q08554,,,,,,,,44501,,,,43412.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08623,,,,,,,,,,,,,,,,,,,,,,,,,,1314000,,,,,,,,,,,1347370,,,,,,,,,,,,,
Q08722,,,,,329914,290020,,,,260558,,208450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08752,,,,,,,,,,,,,,,,,,,,,100149,,,,,,,,,,,,,,,,,,,,257256,,127178,,,,,,120770,
Q08828,63173900,,,,,,,,,21176900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86113800,,,,,,,,
Q08830,,,,,47068.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39776.6,,,
Q08945,,,,,,,,,,,,,,,,100184,,,91451.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08AF3,,,,,,,,,,,,,,,,,,,392579,,,,,,,,,,,,,,,,,,,,,412049,,,,,,,,,,254814.2
Q08AH3,,,,,,,,643218,,,,,,,,,502571,,,,,,,,,,,,,539006,,,,,,,,,,,,,,,,,,,,
Q08AM6,,,,,,,,,,,,,,,,,,,,,133361,,,,,,,,,,,142656,,,,,,,,,,,,,,,,,,
Q08J23,6862460,,,6775340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6603570,,,,,
Q09013,,,,,,,,,,,,,,,,,273520,,,123776,,,,,,,,,153630,,,,,,,,,,,,,,,,,,,,,
Q09019,,,,,,,,,,,,,,,,,,,691828,,,,614499,,,,,,,,,,741559,,,,,,,,,,,,,,,,,
Q09028,,,,,,,,61983.2,58965.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09161,,350261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348536,
Q09327,,210891,,,,,,,,,386626,,,,336112,,,,,,,,,469467,,,,,,,,,,,,,,202675,,,,309171,,,,,,,,
Q09472,,501291,,,,,455714,475780,,,,,394148,,,,,,,,243309,,,,,477046,,,,,,,,,,,,,419418,,,,,407685,,,,269997,,263168
Q09666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694831,699304,
Q0JRZ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,164542,,161080,,,,,,,,,,,,,,,,,,,,
Q0P6D2,,,20695300,,19757400,10068300,10237300,,8565780,,,,12215200,13470700,,,,,,10703600,,,,,,,10699000,,9948740,716557,,,,,,15830600,,,4705550,,,,,,,,,14691700,,
Q0VD83,,,,,,,,,,,,,,,,,,6070450,,5526360,,,,,,,,,,,,,,,,5056810,,,,,,,,,,,,,,
Q0VDF9,,174152,,,,,,542126,638877,,484755,,533897,,,,308225,587824,,,,,,,,763756,820284,,1407330,,651385,,,788033,797688,1143080,,316705,978730,1009250,761488,727689,933688,,794910,,,,,
Q0VDG4,,,,,,,,,,,1146140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743724,,,,
Q0VF96,,,,,,,,,,,,,204697,,186165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0ZGT2,,2753820,,,,2286690,2373970,,,1418800,753647,,,,,,,,2443110,,,,,,,,,,,,,,,,,,,,,,,,712506,,,,,,,
Q10469,,,,,,,,,919377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047710,,,,,,,,,,,
Q10471,152737,495062,110129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409827,,,,315966,,,222719,,,458885,,225771,,,
Q10472,,,,,,,,,,,,,,,,,,,,,,,,,683854,,,,,,535686,,,,,,,,,,,,,,,,,,,
Q10567,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618530,,,,,,,,,,,,,,,1551890,,,,,,,
Q10570,,,,,,,,,,,,,,,,,,,,,1349670,,,,,,,,,,,985765,,,,,,,,1239080,,,,,,,,,,
Q10588,,,,,,,,,,,,,,,,,103738,102439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10713,,11041600,,7775920,9651360,,,2941530,,8939100,199725,,,9045590,,13709000,,,,,13185300,14193400,12662500,11396600,14468400,,,0,316993,13646800,,12508000,,,12503800,,58651.1,,,12824000,10094800,,10061300,,7676670,10582200,,,8894590,9272640
Q11201,,4223810,4458950,5044500,4436250,5528720,5426570,,,5903100,4592190,4242480,,,,2882880,,3057370,2510710,2765020,2138990,2795260,,,,3073690,,,,3200760,,,3692460,,3000520,,1898140,,,,,3623620,4417640,,,,,,,
Q12756,,,,,,,,,,,,,760358,817559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12765,,,,,,,,,,,,61855.2,,,,,,,,,,,59462.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12768,,,,,,294744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499711,
Q12769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553933,568966,,,,,,,,,,,,,,,
Q12770,,,,,,,,336688,,,,,263463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12774,474042,529024,,483635,,545373,,,528862,440178,180611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12788,,,,,,,,,,,1819280,,,,2057260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446920,,,,1391410
Q12789,,,,,,,,,,,,,,,,1556010,,,1682330,,2007360,2087670,,,,,,,,,,1302070,,1565860,843562,,,,,,,,,,,,,,,
Q12791,,,,,,,,,,,,,,,288657,,,,132464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12792,,,,,,,5780340,,,,,5852680,,,,,,5919030,,5870000,,,,5504450,5495790,,7002980,,6511730,,,6245390,,,,,6344210,5624760,6527190,5243490,,,,,,,,,,
Q12794,105853,,,,,,,,,,,,,,,89916.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58608.4
Q12797,,8966780,,,,,,,,,,,,,7895850,,,,,,,,,8992540,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4152890,,,,,3754700,,,,,,,,,,,,,,
Q12802,,,,,,,,,,,,,,,,,254131,,,228322,,,,,216960,,,,,,,,,,,,,,,,,,,,,,,,,
Q12805,,,,,,,,,,,,239915,,,,,,,,,,,,,,,,,,,224854,,,,,,,,,,,,,,,,,,,
Q12824,,,,,,,,,,,,,,,,,,237774,,,,,,,,,,,,,,,,,,,,,,,,330842,,,,,,,,
Q12830,2419410,,,2322200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12840,,,,859377,,,,,,,,,,,,,,,,,,,,,,,,,,786590,,,,,,,,,,,,,,,,,,,,
Q12841,,,,,,,,,,,352255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359845,,,,,,,,
Q12846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514245,,,128819,,,,
Q12849,,,,,,,,,,,,,,,,,,,,127409,,,,612526,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12851,,,,2091820,,,,,,,,,,,,,,,97927.8,,,,,,,,,,,,,,,,,,,,,,2715250,,,,,,,,,
Q12857,,,,,,,,,,,,,,,,,,,,,,,,,,54850.1,,,,,,,,,,,,,,,,,,,,61386,,,,
Q12860,,,,120294,,,,,,,,,,,,,,,,,,,,,117749,,,,,,,,,,,,,,,,,,,,,,,,,
Q12864,,,,,,,,,,,,,,,,,,,,,,200807,,,,,,,,,,,,,,,,,219968,,,,,,,,,,,
Q12866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31401.7,,,,32122.3,
Q12873,,,,,,,,,,,,,,,,,,,,,,1672526,,,,,,,,,,,,1775534,,,,,,,,,,,,,,,,
Q12874,,,,,,,,,,,,,,,,,,,,,725672,,,,,,,,,,,,,,,,,,,,,745013,,,,,,,,
Q12882,,,,,,,,,,,,,,,,,,,,,,602376,,,,,,,,,,,,,561398,,,,,,,,,,,,,,,
Q12884,,,,244912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312694.3,,,,,,,,,,,,
Q12888,,,,,,,,,,,,,467116,,434816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12899,,,,,,148837,,,40346.6,,,,159908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12904,,,,,,,,,,,977411,,,1459320,,1393570,,,,977902,1165880,,,,,,,,,,,,,,,,,,,,,,,1737160,,,,,,1815960
Q12905,,,,,,,,,,,,,,,,,,,,,,,,,2121580,,,,,,,,,,,,,1883830,,,,,,,,,,,,
Q12906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3447520,3492210,,,,,,,,,,,,
Q12907,,,,,,,,,,,,,,,,,,,,,,,,1186720,,,,,,,1176660,,,,,,,,,,,,,,,,,,,
Q12912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170746,150113,,,,,,,
Q12913,,,,,,,,,,,,,,,,,,,,,,,,,,,152811,,,,,,,,,,,,,,,,,,,,,,,153384
Q12929,,,,,,,,,,913134,,,,,,,,,,,869471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12931,,,,,,,,143323,,133763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12933,,,,,,,,349698,,,,,,,324690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441333,,505803,,,,,,,
