Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
A0A0B4J1X5,50788900,31503299,36284247,53622110,38929350,42815030,53416900,46745179,42429040,37507890,31048702,48105338,44602324,37639372,43483683,25579154,36179140,36473703,32923598,19948175,32339019,31514786,23036598,28891817,27430439,28513798,26816714,19438944,31910778,30414114,21748898,32159252,26202124,30218447,43752237,35760102,24544682,32668092,28905340,36887239,29515290,35941716,40459962,30650343,31689068,17192586,16803546,17252937,17650428,19082680
A0A0B4J1Y8,399222,875330,504009,582392,453067,786339,755378,382404,716793,116338,730768,959268,875291,666807,514195,,,,,,,,,,,,,,,,,,,,,,,,,,350112,,536338,427029,461698,723230,334517,641132,758207,613714
A0A0B4J1Y9,408666,180263,467971,,321022,447487,213602,337911,415588,518059,196439,369779,381588,184857,371517,380227,348538,446507,445320,,360340,363723,510994,358328,490026,650585,330441,465393,615396,530695,,309664,445895,424421,442646,467037,349747,449794,339104,373606,,,,145193,282606,175777,,,152327,
A0A0B4J2D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619451,559349,,,
A0A0B4J2D9,6797570,6040630,6417840,6671680,3115090,3338610,,7247390,6659710,6810240,7055540,7090160,8277610,4991540,4123330,4745380,5256530,,1875630,3920100,5325420,4915650,751133,4718640,,5160360,6119330,5768050,5115110,,,3857610,3986760,4759220,4510280,4961750,,6630470,5292750,5960670,,1541960,6696060,3404850,6311950,5009110,4715600,4842690,4192940,4158010
A0A0B4J2H0,456315,669154,281196,327994,195666,550413,513018,228636,501251,66743.9,426646,365764,571505,469004,381613,353971,389334,428288,369608,404781,329121,347911,485416,308890,371905,386114,404760,612848,466201,58925,21459.7,363943,370114,431400,536555,151607,632194,300594,217686,522806,334706,496981,377951,442027,326571,373202,296677,225072,322133,321985
A0A0C4DH24,1791620,1361500,1363990,1302060,406606,0,1517300,1312070,1334830,1591080,1796840,1363970,769505,130123,1441010,2153830,2208080,920291,948554,973599,666613,936868,563251,2057490,1855580,1823210,891703,1024990,725249,1847160,1959050,923698,2106150,1095520,958228,941262,1787310,792205,1108480,771992,246713,809197,1071830,1050460,1109690,1006500,900622,1170670,1258640,814435
A0A0C4DH25,86693800,92256800,89182900,60289500,77636100,74634200,74711200,66394200,98541600,80463800,75310400,67160900,63313200,79672200,63418800,65225400,78821200,57805000,76218500,71832300,62258900,67970400,57011100,92615900,84402100,73646200,88773500,69210000,81902200,73512200,65095800,78616600,64414900,79425400,63620600,62012200,107111000,61047200,61819900,56825200,41452100,43225400,44783900,68316800,57372500,,19143800,25831200,34662400,20661300
A0A0C4DH29,1627520,1680720,1490020,1932050,1483260,2378490,1991390,2197610,2102310,2863620,2634180,2910580,2541830,2305940,3166720,1613390,1483200,1726290,1554290,1633590,1521870,1494820,1698110,1382350,1719720,1420600,1436560,1745130,1621240,1590880,1406180,1630900,1338240,1844000,2015760,2174770,1918230,1865270,1754910,1889810,1815560,1838010,1518330,2058540,1882430,,759994,855622,780039,
A0A0C4DH31,2544540,2371644,2151065,2331634,2166969,2559245,2383257,2894980,2869005,2291137,2807053,2625913,2941326,3132326,3117128,2542303,2367813,2499740,2575097,2344717,2198635,1945978.2,2386715,2244516,2580926,2445005,2980310,2415331,3134756,3046870,2985424,2822908,2517153,2849175,2651260,2614350,3195668,3142750,2693930,2526459,2671159,2386642,2889561,2599034,2774831,1788433,1559079.6,1836347.8,2164594,2701220
A0A0C4DH32,,,,,,3794660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4322120,,,,,,
A0A0C4DH33,,,,,,,,,,,,,,,,,,,71106.7,,,,,,,,,,74180.6,,,,,,,74743.5,,,83038.1,,,,,,,,,,,
A0A0C4DH34,1650690,,,,,1576350,,,,,,1386630,1896560,1239560,,2972080,2772300,3341660,2870110,2215090,559752,1863560,2440100,1646380,2420300,611441,2972830,,1619740,1867050,,463995,366118,2671090,,,250186,2482760,3183760,2376390,1462560,2583470,2369770,2319320,,,,,,
A0A0C4DH36,2821860,3617190,3412860,2260660,2215180,3992880,2881380,4539190,2520000,3418560,2680010,4755010,2198440,2619030,3206800,2044040,2710890,3472960,2022460,3090910,3383100,3263680,2929160,3333900,3675120,3002220,3078540,3313940,3107090,3213490,3026280,3492150,3448980,3368050,3855760,3919540,3644890,3493030,3244200,3275440,2090490,2337510,2598950,2745350,2656290,2096940,1392720,1831460,1906450,1858850
A0A0C4DH38,3574430,3070450,2819860,1970700,2792620,3538360,3816480,4033920,2827260,3074460,3949830,3473010,2413250,3775240,3671130,2704550,1903320,1463390,1542850,1622910,2492750,2720110,2848920,1820020,1234110,2556390,1874900,2151660,1738530,2401990,2364570,1591990,2770590,2230200,2378240,3121280,1983940,2871330,3125280,2760030,2398060,3117790,4344380,4225300,3706270,2168500,2067520,1917940,1946440,2231820
A0A0C4DH39,,,,,,,607375,865008,851822,,956938,594495,,,,,,,595182,,,,,,,,,,,,,,,,,,,,,,1199650,,,,,,,,,
A0A0C4DH41,9721460,6818440,7894830,7840310,7014050,4338730,4466670,6228080,6983470,7522360,6825050,7442660,5596660,7429500,7466540,8251860,7235290,7295590,8766150,7546610,9506710,10345900,10899300,9189760,9135710,7712970,9637930,9306400,8426630,8730020,12525300,6812690,9201500,12731200,10238000,10081500,9629580,9488040,11188600,10077200,6681720,7530140,5921500,7169120,7424690,1914950,1713460,1009270,1663780,1505510
A0A0C4DH42,3422010,3118060,3075010,2821485,2381103,3278348,3375040,2168350,3259999,3085540,3059520,2971186,3220520,2937502,3024360,2018422,1993856,1865097,1717912,2003808,1462239,563349,480337,742824,772209,1760945,1708522,1474557,809547,1718187,309906,486167,580863,646843,791899,802070,1437203,1093660,580799,584802,1124656,856121,464253,474067,1065162,1836524,1935751,1933639,1822028,1947566
A0A0C4DH43,9766630,8956820,9723320,9097230,9657180,10405700,8677680,5227550,6169800,4860390,4671100,8359240,8040680,7550470,8312460,363618,479278,292016,335046,,,,,,,,,411851,,,,197922,,,,262345,,,,,6778520,5613950,6254220,3339780,7116140,4251250,3152120,5408120,5421080,5304850
A0A0C4DH55,2406531,,,,,,752964,,,,,,,,,,,,,,,,392019,,,,,,,,,1179468.8,,,,,,,,,,,,,,,,656564,,
A0A0C4DH67,347021,215846,426262,201233,349166,332116,303342,301600,288346,320670,307004,218141,237983,243525,260342,191876,198737,217913,223160,186467,230121,239323,242826,113779,171773,323872,267671,278679,220814,165785,262126,188222,215901,275254,233777,233588,290607,266136,212288,220349,366706,367722,358661,297705,357848,192799,205321,177851,204796,211807
A0A0C4DH72,5131390,3987200,5234600,3798790,4107080,3874190,4221060,5432270,3656130,4305960,4993820,4749800,,4991850,5509250,3871700,3903180,4820020,3668760,5287230,4389060,3974800,4353080,3881700,3687030,4183170,4017070,4332560,5684520,5415240,4374040,4677230,5527300,5123070,4763320,5010260,4848390,6303480,4333590,6500160,9156970,7173610,6226770,8160280,6738730,4462820,6098070,6816440,5822260,3840990
A0A0C4DH73,,,,,,,879971,,,,,,,715620,,,713373,553660,,666848,,,,,,,,,,501119,,,,,,,,,,,,,,,,812572,,,708843,724352
A0A0G2JMI3,426695,404401,,591762,,641671,676173,595610,572458,,557975,778428,638781,521762,540102,456285,848857,884327,1238820,542100,,596417,584547,670021,404265,634978,764755,,947972,883785,698359,499763,615249,,,348684,485071,465449,,353368,1013810,978470,881765,682424,885597,472155,527928,563861,476742,
A0A0J9YX35,3500980,2961280,2875760,3529690,2712720,3480670,3383080,3884970,4037940,2745860,3105330,2994090,2999270,3012530,2892320,2034690,2008880,2225570,2309830,1989140,2362560,2455980,2444880,2181600,2886170,2632740,2300820,2003530,1709440,2189930,2530930,2864350,3571640,3104130,3526390,,3081860,3143160,2410680,2804220,3377560,3967660,4664940,4245140,4105210,1469220,1159570,1201470,1331150,1686290
A0A0J9YXX1,867001,810136,885917,545173,635533,1053040,796907,870742,,748897,,969400,,,,1085580,1460660,1100020,,1429820,807858,883629,525695,728277,729287,,855951,832385,780154,908536,986428,949637,893531,767334,779924,1134360,,892984,1053980,813368,,,480592,817268,,,,,,325524
A0A140G945,,,,,96735.6,,,,,,,,,,,,,,,,84452.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A1B0GTC6,,,,,,,,,,,,,,,,,,,71589.9,,,,,,,,,,,,,,,,,,,,,,,,,,154644,,,,,
A0A1B0GUS4,,,,,,,,,,,,,,,,,,,,,,,,,,853534,,,,,,,,,,,752604,,,,,,,,,,,,,
A0A5B9,,,,1248180,,,,,,,,,,,,,,,,996104,,,,,,,,,,,,,,,,,,,,,,,,,,,999941,,,
A0AV96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367355,,,,,,,,,,353839,,,,,,,,,,,
A0AVF1,,,,,,,,,,,,,,,,,,,,,,411519,,,,,,,,,,,,,,,,,,,,,,,346426,,,,,
A0AVT1,,,,,,1090400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089380,,,,,,,,,,,,,,,
A0FGR8,,,,,,,,,,,,,,,,,,,,,,121644,,,,,113120,,,,,,,,,,,,,,,,,,,,,,,
A0JLT2,,,,,,,,2388550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304141,,,
A0M8Q6,433249500,500121200,544674800,491772500,527453400,517345200,484050900,452013800,476474200,488092700,503216200,467092900,493625800,472054000,185432600,400662300,395489000,352071000,392460800,370497300,425207700,394737500,328733400,359568400,399324700,431130200,487261100,465025800,414323600,503766800,459976700,367809700,396568400,433649000,367566400,399917500,443036600,472183700,439157300,386525900,455942700,456532600,415063600,510505600,417083500,295122800,304708600,299061500,308140200,314582100
